task_id,dept,severity,duration_mins,asset_age_years,coa_section,line,start_km,end_km,date_reported,due_date,available_from_week,is_emergency,power_block_required,defect_type,rly,div,direction,block_demand_date,is_block_integrated,integrated_department,enforcement_condition,use_corridor,reason_code,traffic_density,days_until_due,is_overdue,days_overdue,urgency_score,criticality_score,scoring_method,priority_reason
TDM-1038,TDMS,CRITICAL,120,28,STN_B-STN_C,DN_MAIN,158.1,158.1,2026-08-11,2026-08-14,1,False,True,Cantilever Insulator Flash,NR,DLI,DOWN,2026-09-01,False,,Flexible,True,STATUTORY_SAFETY_INSPECTION,HIGH,-45,True,45,2.0,100.0,XGBoost,Critical severity + 45d overdue SLA + high-traffic corridor + needs power-block isolation + aging asset (28y) + reason code: statutory safety inspection
TDM-1022,TDMS,CRITICAL,120,27,STN_B-STN_C,DN_MAIN,158.1,158.1,2026-08-17,2026-08-20,1,False,True,Cantilever Insulator Flash,NR,DLI,DOWN,2026-09-01,True,SMMS,Flexible,True,STATUTORY_SAFETY_INSPECTION,HIGH,-39,True,39,2.0,99.6,XGBoost,Critical severity + 39d overdue SLA + high-traffic corridor + needs power-block isolation + aging asset (27y) + reason code: statutory safety inspection
TDM-1039,TDMS,CRITICAL,45,20,STN_C-STN_D,UP_MAIN,170.02,170.02,2026-08-23,2026-08-26,1,False,True,Dropper Wire Snapped,NR,DLI,UP,2026-09-01,False,,Flexible,True,STATUTORY_SAFETY_INSPECTION,HIGH,-33,True,33,2.0,97.0,XGBoost,Critical severity + 33d overdue SLA + high-traffic corridor + needs power-block isolation + reason code: statutory safety inspection
TDM-1045,TDMS,CRITICAL,120,29,STN_A-STN_B,UP_MAIN,143.04,143.04,2026-09-15,2026-09-18,3,True,True,Dropper Wire Snapped,NR,DLI,UP,2026-09-18,False,,Fixed Time Slot,True,EMERGENCY_REPAIR,HIGH,-10,True,10,1.7142857142857144,96.1,XGBoost,Critical severity + 10d overdue SLA + high-traffic corridor + needs power-block isolation + aging asset (29y) + new emergency defect + Fixed Time Slot demand + reason code: emergency repair
TMS-8020,TMS,CRITICAL,60,33,STN_C-STN_D,DN_MAIN,166.179,166.179,2026-08-11,2026-08-14,1,False,False,Ballast Fouling,NR,DLI,DOWN,2026-09-01,False,,Fixed Time Slot,True,STATUTORY_SAFETY_INSPECTION,HIGH,-45,True,45,2.0,95.5,XGBoost,Critical severity + 45d overdue SLA + high-traffic corridor + aging asset (33y) + Fixed Time Slot demand + reason code: statutory safety inspection
TMS-8031,TMS,CRITICAL,120,33,STN_B-STN_C,DN_MAIN,153.946,154.046,2026-08-21,2026-08-24,1,False,False,Fishplate Loose,NR,DLI,DOWN,2026-09-01,False,,Fixed Time Slot,True,STATUTORY_SAFETY_INSPECTION,HIGH,-35,True,35,2.0,95.3,XGBoost,Critical severity + 35d overdue SLA + high-traffic corridor + aging asset (33y) + Fixed Time Slot demand + reason code: statutory safety inspection
TMS-8034,TMS,CRITICAL,150,33,STN_B-STN_C,DN_MAIN,161.81,161.81,2026-09-08,2026-09-11,2,True,False,Rail Fracture,NR,DLI,DOWN,2026-09-11,True,TDMS,Fixed Time Slot,True,EMERGENCY_REPAIR,HIGH,-17,True,17,2.0,95.2,XGBoost,Critical severity + 17d overdue SLA + high-traffic corridor + aging asset (33y) + new emergency defect + Fixed Time Slot demand + reason code: emergency repair
TDM-1025,TDMS,CRITICAL,120,15,STN_A-STN_B,UP_MAIN,143.04,143.04,2026-08-26,2026-08-29,1,False,True,Dropper Wire Snapped,NR,DLI,UP,2026-09-01,False,,Flexible,True,STATUTORY_SAFETY_INSPECTION,HIGH,-30,True,30,2.0,94.7,XGBoost,Critical severity + 30d overdue SLA + high-traffic corridor + needs power-block isolation + reason code: statutory safety inspection
SMM-457,SMMS,CRITICAL,30,25,STN_B-STN_C,DN_MAIN,155.0,155.0,2026-08-07,2026-08-10,1,False,False,Signal,NR,DLI,DOWN,2026-09-01,False,,Flexible,False,STATUTORY_SAFETY_INSPECTION,HIGH,-49,True,49,2.0,92.4,XGBoost,Critical severity + 49d overdue SLA + high-traffic corridor + aging asset (25y) + standalone possession (Use Corridor: No) + reason code: statutory safety inspection
SMM-466,SMMS,CRITICAL,60,24,STN_A-STN_B,UP_MAIN,142.12,142.12,2026-08-23,2026-08-26,1,False,False,Level Crossing Gate,NR,DLI,UP,2026-09-01,False,,Flexible,True,STATUTORY_SAFETY_INSPECTION,HIGH,-33,True,33,2.0,92.1,XGBoost,Critical severity + 33d overdue SLA + high-traffic corridor + reason code: statutory safety inspection
